File Name,A_precision,A_recall,A_f1-score,A_Jaccard Index,A_accuracy,A_FDR,B_precision,B_recall,B_f1-score,B_Jaccard Index,B_accuracy,B_FDR,No. Interictal Events,No. Ictal Events,SNR,RMS,Kurtosis,Skewness,MAD,Peak-to-Peak,Entropy,PSD,Session,Detector,Precision_Category,Quality Features
20171107_slice02_01_CTRL1_62,1.0,1.0,1.0,1.0,1.0,0.0,0.36,0.9,0.514,0.346,0.346,0.64,10,4,21.35284584668786,48.94659432597033,72.77203637352517,3.811000736348342,17.06523730869754,1492,0.2173345767519034,1.524594723906488,20171107,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20171107_slice02_01_CTRL1_83,1.0,0.75,0.857,0.75,0.75,0.0,0.067,0.067,0.067,0.034,0.034,0.933,15,4,11.72439614155905,16.7546594348491,67.36668456982274,-1.107729553310284,9.802668563386113,671,0.422487560043098,0.234680722308982,20171107,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20171107_slice02_01_CTRL1_84,1.0,1.0,1.0,1.0,1.0,0.0,0.464,0.867,0.605,0.433,0.433,0.536,16,4,22.88530653567981,55.22854611118743,57.17990036367914,3.556002388993435,19.15314768470987,1587,0.1986995691650136,1.849816627733767,20171107,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20171107_slice02_01_CTRL1_87,1.0,1.0,1.0,1.0,1.0,0.0,0.414,0.857,0.558,0.387,0.387,0.586,14,4,19.3014789204613,39.00439482716445,73.98075967410146,5.294295803389707,15.69488093988054,944,0.3271190073099721,0.8714426225037609,20171107,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20171107_slice02_01_CTRL1_43,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.9,0.643,0.474,0.474,0.5,10,4,14.78713230044183,20.84880917862377,44.14051981041715,2.233279264401975,10.70224292716435,748,0.3907278153193967,0.2028593379543586,20171107,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20171107_slice02_01_CTRL1_51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11,4,4.578406296715121,9.472492514879304,5.196188037894755,0.2045995816308459,7.50682746329877,330,0.7938372174456076,0.07639781911734424,20171107,0,0,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20171128_slice03_01_CTRL1_73,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,5,15.18604855761764,33.36411246084271,22.74866922097125,1.640770310668884,17.0393982629436,850,0.372862625308769,0.5896307059722334,20171128,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20171128_slice03_01_CTRL1_68,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,5,13.32524965510152,34.87480349858259,21.30187277214936,2.956757909598804,19.43019394498752,598,0.5438508743431517,0.6324190214335456,20171128,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20171128_slice03_01_CTRL1_82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,5,8.28040672225825,16.57286573279113,24.65099456626904,2.952683954074582,10.95917230603018,367,0.7814339702932152,0.2089881280873386,20171128,0,0,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20171128_slice03_01_CTRL1_87,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,5,17.70998027915394,51.81084967634339,55.27606239463253,-5.050182383885761,21.56897650341543,1032,0.3208167392858445,2.421348898743091,20171128,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20171128_slice03_01_CTRL1_54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,5,7.742535884317242,15.22032467700283,27.37451836169366,3.180463983752131,10.06701524693446,388,0.7263107579550746,0.1876291366473197,20171128,0,0,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20171128_slice03_01_CTRL1_53,1.0,0.6,0.75,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,5,9.429427299096565,16.91551602978629,43.63906307239602,-4.179867351690326,9.972379109014955,411,0.6824944780993405,0.2677691592951267,20171128,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20171128_slice03_01_CTRL1_62,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,5,12.37443981284468,25.02783515156876,29.31762306452362,0.5267702942083822,13.68653049415936,727,0.4190730391257962,0.4433509701373718,20171128,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20171128_slice03_01_CTRL1_75,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,5,14.03250205004484,31.1839385049973,23.96350862281539,2.28252977744447,16.9388192388765,771,0.4129886917704653,0.4941657784625086,20171128,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20171128_slice03_01_CTRL1_86,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,5,15.05560350832495,37.51770120991875,35.31621151717206,-1.352916543426657,18.4386384771032,966,0.3350080430752779,1.144985475817839,20171128,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20171128_slice03_01_CTRL1_74,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,5,17.25315095698712,44.46602308766339,28.0594117278449,3.241723834554273,21.04620619979809,993,0.3336610488891866,0.9933765836559113,20171128,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20171128_slice03_01_CTRL1_55,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,5,13.09067124400273,32.17871027223081,22.15404457372674,2.787896602529276,18.24009193131106,656,0.4914308006760546,0.5299351744109492,20171128,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20171128_slice03_01_CTRL1_84,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,5,12.2706590680047,26.4555767422936,57.13160723922244,-4.295120163742098,13.56662961009539,720,0.4205660914660013,0.670665247758107,20171128,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20171128_slice03_01_CTRL1_76,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,5,14.05408299567427,34.07183434573861,26.80703520821182,2.919945514376293,18.24514378468304,793,0.4075698463805392,0.5531588356195636,20171128,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20171128_slice03_01_CTRL1_66,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,5,16.25392564143857,44.9430028724633,37.85512245196396,-4.130910473416463,20.38984043074892,974,0.3333765546512383,1.85749155755201,20171128,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20171128_slice03_01_CTRL1_78,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,5,16.93065972438493,55.09932242899446,39.48784548837677,4.094489520486142,24.70416931919213,1243,0.272907139583266,2.15742163894307,20171128,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20171128_slice03_01_CTRL1_83,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,5,10.54901480351113,22.00647209002208,49.96537246402012,-4.300339406316551,12.19482110319299,604,0.4904172347802857,0.463323801804184,20171128,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20171128_slice03_01_CTRL1_85,1.0,0.833,0.909,0.833,0.833,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,5,10.28776257979387,22.64735437246352,22.40081317140868,0.8469843727114063,14.16830379020669,638,0.4847345700661024,0.3364985772330365,20171128,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20170606_slice02_01_CTRL1_16,1.0,1.0,1.0,1.0,1.0,0.0,0.731,0.864,0.792,0.655,0.655,0.269,22,5,16.40765580740785,64.88569565654153,60.46303294451057,1.844380362930245,31.9554022392946,1746,0.2076046311403301,3.630641015729049,20170606,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20170606_slice02_01_CTRL1_24,1.0,1.0,1.0,1.0,1.0,0.0,0.765,0.684,0.722,0.565,0.565,0.235,19,5,19.51306782699567,85.01637344914475,37.29667538870024,3.326313393031909,38.3635195568395,1717,0.2124848426480762,4.152723236331075,20170606,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20170606_slice02_01_CTRL1_17,0.833,1.0,0.909,0.833,0.833,0.167,0.72,0.72,0.72,0.562,0.562,0.28,25,5,12.17448048020978,46.32673474295857,56.66853477874957,-3.689396463924958,28.1588404207102,1403,0.2521654631697567,2.060397962467485,20170606,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20170606_slice02_01_CTRL1_23,0.833,1.0,0.909,0.833,0.833,0.167,0.0,0.0,0.0,0.0,0.0,1.0,19,5,10.17620224847808,37.24907555527012,25.22584870911161,2.500327648268175,25.43889922322608,951,0.3671030401666682,1.068154231327838,20170606,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20170606_slice02_01_CTRL1_26,0.833,1.0,0.909,0.833,0.833,0.167,0.739,0.739,0.739,0.586,0.586,0.261,23,5,16.79184223477311,76.33605121798976,34.924957834272,3.49152585869464,38.56393051203516,1416,0.2639076407684218,3.130439065487418,20170606,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20170606_slice02_01_CTRL1_25,0.667,1.0,0.8,0.667,0.667,0.333,0.5,0.15,0.231,0.13,0.13,0.5,20,5,18.74237221430058,78.42520121463225,37.09073286918435,3.699009058330891,37.48870075165183,1640,0.2232797675489814,3.402721818569453,20170606,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20170926_slice01_01_CTRL1_55,1.0,1.0,1.0,1.0,1.0,0.0,0.853,0.483,0.617,0.446,0.446,0.147,69,4,17.2672166871283,32.46163843677641,73.38898086416184,2.619330017711853,16.28322142025155,1203,0.2608033742878294,0.6659888514662357,20170926,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20170926_slice01_01_CTRL1_76,1.0,1.0,1.0,1.0,1.0,0.0,0.872,0.607,0.716,0.557,0.557,0.128,59,4,18.39370322475642,34.90374659529961,84.33966234413445,0.7319575056322877,16.09641879398704,1270,0.2476877227756797,0.7983079663269091,20170926,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
20170926_slice01_01_CTRL1_58,1.0,1.0,1.0,1.0,1.0,0.0,0.909,0.69,0.784,0.645,0.645,0.091,64,4,19.25681420619438,40.54322829469251,65.74121861851353,4.171826253266421,18.41167530869906,1024,0.3122853141444756,0.9161627466402534,20170926,0,1,"SNR, RMS, Kurtosis, Skewness, MAD, Peak-to-Peak, Entropy, PSD"
